WERKS,MATNR,TXZ01,MENGE,MEINS,NETPR,WAERS,BUDAT,LIFNR,EKGRP,BELNR
DE01,000000000050001234,Diesel Kraftstoff,"12.500,00",L,"1.234,56",EUR,20240315,0000001234,Z01,5100000123
DE01,000000000050001235,Super Benzin,"4.500,50",L,"6.000,00",EUR,20240316,0000001234,Z01,5100000124
DE02,000000000050001234,Diesel Kraftstoff,"1.000,00",GAL,"4.000,00",USD,20240317,0000001235,Z01,5100000125
DE02,000000000050004321,Heizöl EL,"8.250,75",L,"7.500,00",EUR,20240228,0000004512,Z04,5100000126
DE03,000000000050006789,Erdgas (CNG),"3.200,00",KG,"2.100,00",EUR,20240120,0000007788,Z02,5100000127
DE03,000000000050001234,Diesel Kraftstoff,"950,00",L,"900,00",EUR,20240122,0000001234,Z02,5100000128
DE04,000000000050009999,AdBlue,"2.000,00",L,"600,00",EUR,20240125,0000003321,Z03,5100000129
DE04,000000000050001235,Benzin,"750,00",GAL,"2.500,00",USD,20240128,0000003321,Z03,5100000130
DE05,000000000050001234,Diesel Kraftstoff,"14.200,25",L,"13.800,00",EUR,20240205,0000009844,Z01,5100000131
DE05,000000000050001234,Diesel Kraftstoff,invalid_qty,L,"1.200,00",EUR,20240206,0000009844,Z01,5100000132
DE06,000000000050001234,Diesel Kraftstoff,"3.500,00",L,"3.450,00",EUR,invalid_date,0000007777,Z01,5100000133
DE06,000000000050007777,Kerosin,"5.000,00",L,"4.900,00",EUR,20240301,0000007777,Z01,5100000134
DE07,000000000050001235,Benzin,"2.300,00",L,"2.150,00",EUR,20240302,,Z01,5100000135
DE07,000000000050001234,Diesel Kraftstoff,"1.250,00",GAL,"3.100,00",USD,20240305,0000005566,Z01,5100000136
DE08,000000000050004321,Heizöl EL,"9.800,00",L,"8.700,00",EUR,20240310,0000001111,Z04,5100000137
DE08,000000000050001234,Diesel Kraftstoff,"6.450,50",L,"5.900,00",EUR,20240312,0000001111,Z04,5100000138
DE09,000000000050008888,Bio Diesel,"2.100,00",L,"2.000,00",EUR,20240314,0000002222,Z05,5100000139
DE09,000000000050001235,Super E10,"3.600,00",L,"3.450,00",EUR,20240318,0000002222,Z05,5100000140
DE10,000000000050003333,Flüssiggas,"1.500,00",L,"1.200,00",EUR,20240319,0000003333,Z06,5100000141
DE10,000000000050001234,Diesel Kraftstoff,"11.000,00",L,"10.500,00",EUR,20240321,0000003333,Z06,5100000142
